ID,Term,Definition,Name,,,,,,,,,,,,,,,,,,,,,,
1,A -- is composed of symbols and subscripts indicating the number of atoms of an element in a compound.,chemical formula,Sci 1,,,,,,,,,,,,,,,,,,,,,,
2,A -- is the force that old atoms together in a compound.,chemical bond,Sci 2,,,,,,,,,,,,,,,,,,,,,,
3,Atmos form compounds when the compound is more -- than the separate atoms.,stable,Sci 3,,,,,,,,,,,,,,,,,,,,,,
4,"Atoms can lose, gain, or -- electrons to get a stable outer energy level.",share,Sci 4,,,,,,,,,,,,,,,,,,,,,,
5,"Bubbling of gas, or effervescence, indicates what kind of change?",A chemical change.,Sci 5,,,,,,,,,,,,,,,,,,,,,,
6,Elements that do not have full outer energy levels are unstable until they form a --,compound,Sci 6,,,,,,,,,,,,,,,,,,,,,,
7,Noble gases are more -- than other elements because they have a complete energy level.,chemically stable,Sci 7,,,,,,,,,,,,,,,,,,,,,,
8,Some elements combine chemically and no longer have the same -- they did before forming a compound.,properties,Sci 8,,,,,,,,,,,,,,,,,,,,,,
9,Why does placing wheels under a heavy box reduce the necessary force require to push it along at a constant speed?,The wheels allow the load to be equally distributed and moves the force on movement onto something that rolls reducing the required force,Sci 9,,,,,,,,,,,,,,,,,,,,,,
10,Which element is present in all organic compounds?,Carbon,Sci 10,,,,,,,,,,,,,,,,,,,,,,
11,Which of the following is most effective in helping rain forest plants trap sunlight so that light energy can be converted to chemical energy? a. Large root size b. Small seed size c. Large leaf size d. Small stem,C,Sci 11,,,,,,,,,,,,,,,,,,,,,,
12,Identify the type of enregy stored in a stretched bungee cord.,Potential,Sci 12,,,,,,,,,,,,,,,,,,,,,,
13,"Apply Newtonn's third law of motion to explain how 2 billiard balls, moving toward each other at the same speed, collide and move away from each other at the same speed as before.",The action of them hitting each other is = by them bouncing. They would move in the opposite direction.,Sci 13,,,,,,,,,,,,,,,,,,,,,,
14,Which process is most closely associated with the regulation of water loss from the leaves of trees? (1) digestion of water within the cytoplasm in the leaf cells of the trees (2) synthesis of protein by the chloroplasts in the leaf cells of the trees (3) movement of water through leaf openings controlled by the guard cells (4) absorption of nitrogen through leaf openings controlled by the guard cells,3,Sci 14,,,,,,,,,,,,,,,,,,,,,,
15,Explain why a backward-facing car seat is safer for an infant than a forward-facing car seat during a collision or abrupt stop.,"The baby would not slide forard, the cack af the seat safely distributes the force pushing him fwd.",Sci 15,,,,,,,,,,,,,,,,,,,,,,
16,explain the relationship between work and power,Power is the rate of doing work,Sci 16,,,,,,,,,,,,,,,,,,,,,,
17,The fight-or-flight response includes greater heart output and a rise in blood pressure. This response is due to A insulin secreted by the pancreas. B thyroxine secreted by the thyroid gland. C oxytocin secreted by the pituitary gland. D adrenaline secreted by the adrenal glands.,D,Sci 17,,,,,,,,,,,,,,,,,,,,,,
18,What is a nonelectrolyte,solution that does not contain ions,Sci 18,,,,,,,,,,,,,,,,,,,,,,
19,Explain why steam (gas) has a lower specific heat than water (liquid).?,molecular density of the gas is less than the liquid,Sci 19,,,,,,,,,,,,,,,,,,,,,,
20,Parts per million is used to express the (1) atomic mass of an element (2) concentration of a solution (3) volume of a substance (4) rate of heat transfer,2,Sci 20,,,,,,,,,,,,,,,,,,,,,,
21,Describe the method of heat transfer involved when you mix hot water with cold water to make lukewarm water.,conduction,Sci 21,,,,,,,,,,,,,,,,,,,,,,
22,Why are gamma rays more dangerous than alpha paticles or beta,"Gamma rays can pass through many more materials, such as clothing or walls. tjan alpha or beta particles can.",Sci 22,,,,,,,,,,,,,,,,,,,,,,
23,The process of photosynthesis ultimately converts light energy into — a. mechanical energy b. nuclear energy c. chemical energy d. electrical energy ,conduction,Sci 23,,,,,,,,,,,,,,,,,,,,,,
24,Whatkind of  energy is  produced by heat within the Earth,geothermal energy,Sci 24,,,,,,,,,,,,,,,,,,,,,,
25,A fruit fl y is classifi ed as a consumer rather than as a producer because it is unable to: (1) reproduce asexually (2) synthesize its own food (3) release energy stored in organic molecules (4) remove wastes from its body,2,Sci 25,,,,,,,,,,,,,,,,,,,,,,
26,"If the concentration of sodium is greater outside a cell than inside the cell, which process could move sodium out of the cell? (1) diffusion (2) carbohydrate synthesis (3) active transport (4) digestion",3,Sci 26,,,,,,,,,,,,,,,,,,,,,,
27,What is the most common term used in genetics to describe the observable physical characteristics of an organism caused by the expression of a gene or set of genes? ,ANSWER: PHENOTYPE,Sci 27,,,,,,,,,,,,,,,,,,,,,,
28,What is the biological term most often used for the act of a cell engulfing a particle by extending its pseudopodia (read as: SU-doe-POH-dee-ah) around the particle? ,ANSWER: PHAGOCYTOSIS,Sci 28,,,,,,,,,,,,,,,,,,,,,,
29,An aqueous solution in which the concentration of OH– ions is greater than that of H+ ions is: W) basic X) acidic Y) neutral Z) in equilibrium,ANSWER: W) BASIC,Sci 29,,,,,,,,,,,,,,,,,,,,,,
30,What property of a sound wave is most commonly associated with loudness? ,ANSWER: AMPLITUDE,Sci 30,,,,,,,,,,,,,,,,,,,,,,
31,Two types of organic reactions are (1) deposition and saponification (2) deposition and transmutation (3) polymerization and saponification (4) polymerization and transmutation,,Sci 31,,,,,,,,,,,,,,,,,,,,,,
32,"Organisms contain compounds such as proteins, starches, and fats. The chemical bonds in these compounds can be a source of: (1) amino acids (2) simple sugars (3) energy (4) enzymes",3,Sci 32,,,,,,,,,,,,,,,,,,,,,,
33,Which life function is not necessary for an individual organism to stay alive? (1) nutrition  (2) reproduction (3) regulation (4) excretion,2,Sci 33,,,,,,,,,,,,,,,,,,,,,,
34,"9 Fossil fuels have been used for years as a source of energy. Even though there are many negative issues associated with the use of fossil fuels, they continue to be used to a great extent. This is most likely because (1) they have been commercially available as an energy source (2) there are alternatives to these types of fuels (3) they have had a positive effect on global temperatures (4) fossil fuels can be burned to produce large quantities of carbon dioxide",1,Sci 34,,,,,,,,,,,,,,,,,,,,,,
35,A child with cystic fi brosis has an altered protein in his cells that stops chloride ions from leaving the cells. This protein most likely affects the functioning of (1) cell membranes (2) nuclei (3) mitochondria  (4) ribosomes,1,Sci 35,,,,,,,,,,,,,,,,,,,,,,
36,Fungi are decomposers that play an important role in the maintenance of an ecosystem. The role of fungi is important because they (1) synthesize energy-rich compounds that are directly used by producers (2) break down materials that can then be used by other organisms (3) limit the number of plants that can perform photosynthesis in an area (4) are competitors of other consumers such as herbivores,2,Sci 36,,,,,,,,,,,,,,,,,,,,,,
37, In which biome do the evaporation rates exceed the precipitation rates? a. Hardwood forest b. Desert c. Grassland d. Tropical jungle ,B,Sci 37,,,,,,,,,,,,,,,,,,,,,,
38,Which of these is the greatest limiting factor for plants that grow on the floor of a rain forest? a. Herbivores b. Water c. Sunlight d. Space ,C,Sci 38,,,,,,,,,,,,,,,,,,,,,,
39,What is a dipole?,A molecule that has both negatively and positively charged poles caused by the unequal distribution of electrons,Sci 39,,,,,,,,,,,,,,,,,,,,,,
40,Which of the following choices is not a method of preventing bacterial illnesses from spreading in a meat-processing plant? a. Using antibiotics to treat persons with food poisoning b. Washing hands and utensils with hot soapy water c. Use of gloves when handling raw meat products d. Treatment of work areas with chemical disinfectants ,A,Sci 40,,,,,,,,,,,,,,,,,,,,,,
41,"A mutation occurring in a human can be passed from parent to offspring when it occurs in a (1) lung cell, due to exposure to a toxic gas (2) gamete formed in the ovary (3) body cell undergoing mitosis (4) heart cell with chromosome damage",2,Sci 41,,,,,,,,,,,,,,,,,,,,,,
42,The basic building blocks of a protein are (1) glucose molecules (3) hormones (2) amino acids (4) fats,2,Sci 42,,,,,,,,,,,,,,,,,,,,,,
43,What is a polar molecule,A molecule that has partially charged electrical poles,Sci 43,,,,,,,,,,,,,,,,,,,,,,
44,Which processes represent one chemical change and one physical change? (1) freezing and melting (2) freezing and vaporization (3) decomposition and melting (4) decomposition and combustion,3,Sci 44,,,,,,,,,,,,,,,,,,,,,,
45,What kind of change is cracking open an egg?,"Physical (The egg is still an egg, it just looks different.)",Sci 45,,,,,,,,,,,,,,,,,,,,,,
46,The method that measures the change in water volume when an object is added is called                 ,Displacement,Sci 46,,,,,,,,,,,,,,,,,,,,,,
47,What does the law of impenetrability say?,Two objects can't be in the exact same place at the exact same time.,Sci 47,,,,,,,,,,,,,,,,,,,,,,
48,What is a volt?,the unit measurement of the difference between electrical potentials,Sci 48,,,,,,,,,,,,,,,,,,,,,,
49,Photosynthesis and respiration are alike in that they both (1) require the Sun as a direct source of energy (2) result in the production of glucose molecules (3) require specific catalysts (4) occur within mitochondria,3,Sci 49,,,,,,,,,,,,,,,,,,,,,,
50,Nicotine is only one of the many toxic chemicals inhaled while smoking. What effect can such toxic chemicals have on the body? (1) They stimulate an increase in height. (2) They stimulate uncontrolled cell division. (3) They eliminate carbon dioxide from cells. (4) They eliminate chromosomes from many cells,2,Sci 50,,,,,,,,,,,,,,,,,,,,,,
51,What is a resistor,any object that resists the flow of electricity,Sci 51,,,,,,,,,,,,,,,,,,,,,,
52,Which process uses energy to combine inorganic molecules to synthesize organic molecules? (1) respiration (3) photosynthesis (2) digestion (4) decomposition,3,Sci 52,,,,,,,,,,,,,,,,,,,,,,
53, Which sequence best represents increasing complexity? (1) tissues ? cells ? organelles ? organs (2) cells ? organelles ? organs ? organism (3) organelles ? cells ? tissues ? organs (4) organism ? cells ? tissues ? organelles,3,Sci 53,,,,,,,,,,,,,,,,,,,,,,
54,What is an ampere?,the unit used to measure the amount of current that flows past a point in one second,Sci 54,,,,,,,,,,,,,,,,,,,,,,
55,The organisms in a pond and the physical factors influencing them best describe (1) a population (3) a biosphere (2) an ecosystem (4) a food chain,2,Sci 55,,,,,,,,,,,,,,,,,,,,,,
56,A student holds a book at rest in an outstretched hand. The force exerted on the book by the student is equal to the book’s: A)Mass B)Weight C)Volume D)Density.,B,Sci 56,,,,,,,,,,,,,,,,,,,,,,
57,Photosynthesis is important for almost all life on Earth because it — a. is responsible for most decay b. uses simple elements c. produces oxygen d. releases usable forms of nitrogen ,C,Sci 57,,,,,,,,,,,,,,,,,,,,,,
58,What characteristic do all living things share? a. They reproduce by mitosis. b. They are made up of many parts. c. They contain DNA. d. They need oxygen to survive. ,C,Sci 58,,,,,,,,,,,,,,,,,,,,,,
59,The surfaces of planet Mercury and our moon contain some very large craters that are most likely the result of: A)giant lava flows. B)asteroid impacts. C)nuclear explosions.D),B,Sci 59,,,,,,,,,,,,,,,,,,,,,,
60,Which of these functions most like the “brain” of a cell? a. The Golgi apparatus b. The mitochondrion c. The nucleus d. The smooth endoplasmic reticulum ,C,Sci 60,,,,,,,,,,,,,,,,,,,,,,
61,"After a building was torn down and the area was cleared, grasses began to grow in the area. Several years later, small bushes replaced the grasses. This pattern of plant growth is known as ecological (1) stability (3) succession (2) cultivation (4) coordination",3,Sci 61,,,,,,,,,,,,,,,,,,,,,,
62,A human activity that could significantly decrease the amount of carbon dioxide in the air is (1) increasing the use of fossil fuel (2) controlling insect pests that eat stored grain (3) burning garbage and trash to generate electricity (4) preserving and expanding forest habitats that shelter wildlife,4,Sci 62,,,,,,,,,,,,,,,,,,,,,,
63,"Deer ticks are responsible for spreading Lyme disease. This organism, which feeds on the blood of warm-blooded organisms like mice, deer, and humans, is best described as a (1) predator (3) parasite (2) scavenger (4) host",3,Sci 63,,,,,,,,,,,,,,,,,,,,,,
64,"Which cell structures are correctly paired with their functions? (1) The mitochondria produce enzymes, and ribosomes transport them. (2) The ribosomes make proteins, and the nucleus stores genetic information. (3) The cell membrane makes enzymes, and cytoplasm transports them. (4) The vacuole stores genetic information, and chloroplasts make proteins.",2,Sci 64,,,,,,,,,,,,,,,,,,,,,,
65,Which phrase describes the charge and mass of a neutron? (1) a charge of 1 and no mass (2) a charge of 1 and an approximate mass of 1 u (3) no charge and no mass (4) no charge and an approximate mass of 1 u,4,Sci 65,,,,,,,,,,,,,,,,,,,,,,
66,What is the number of electrons in a potassium atom? (1) 18 (3) 20 (2) 19 (4) 39,2,Sci 66,,,,,,,,,,,,,,,,,,,,,,
67,Which statement explains why water is classified as a compound? (1) Water can be broken down by chemical means. (2) Water is a liquid at room temperature. (3) Water has a heat of fusion of 334 J/g. (4) Water is a poor conductor of electricity,1,Sci 67,,,,,,,,,,,,,,,,,,,,,,
68,Which nuclear emission is negatively charged? (1) an alpha particle (3) a neutron (2) a beta particle (4) a positron,2,Sci 68,,,,,,,,,,,,,,,,,,,,,,
69,"Which list includes three forms of energy? (1) chemical, mechanical, electromagnetic (2) chemical, mechanical, temperature (3) thermal, pressure, electromagnetic (4) thermal, pressure, temperature",1,Sci 69,,,,,,,,,,,,,,,,,,,,,,
70,What is the proper name of the star that is most commonly noted to have coordinates closest to the north celestial pole? ,ANSWER: NORTH STAR (ACCEPT: POLARIS or ALPHA URSA MINORIS),Sci 70,,,,,,,,,,,,,,,,,,,,,,
71,What is the most well-known asterism in Ursa Major?, ANSWER: BIG DIPPER,Sci 71,,,,,,,,,,,,,,,,,,,,,,
72,What are the 2 basic categories of lymphocyte cells?, ANSWER: T AND B (ACCEPT: B AND T CELLS),Sci 72,,,,,,,,,,,,,,,,,,,,,,
73,What general type of bonding is found in molecules in which electrons are shared by nuclei? ,ANSWER: COVALENT,Sci 73,,,,,,,,,,,,,,,,,,,,,,
74,"Although not known as such at the time, what was the first form of spectacular electric discharge seen by humans? ",ANSWER: LIGHTNING,Sci 74,,,,,,,,,,,,,,,,,,,,,,
75,What planet is known to be most like Earth in size and density? ,ANSWER: VENUS,Sci 75,,,,,,,,,,,,,,,,,,,,,,
76,What star has the greatest apparent magnitude?,SUN,Sci 76,,,,,,,,,,,,,,,,,,,,,,
77, How many embryonic seed leaves does a bean seedling have?, ANSWER: 2,Sci 77,,,,,,,,,,,,,,,,,,,,,,
78,Name all of the following 5 plants that are dicots: wheat; geranium; garlic; bamboo; rose ,ANSWER: GERANIUM; ROSE,Sci 78,,,,,,,,,,,,,,,,,,,,,,
79,"In general, metals are relatively hard except for what group of metals in the Periodic Table? ",ANSWER: ONE (ACCEPT: GROUP 1A or ALKALI METALS),Sci 79,,,,,,,,,,,,,,,,,,,,,,
80,What gas is most directly responsible for the bends or decompression sickness that divers may experience?, ANSWER: NITROGEN (ACCEPT: N2),Sci 80,,,,,,,,,,,,,,,,,,,,,,
81,"In degrees Celsius to the nearest whole number, what is the normal core body temperature of a human being?", ANSWER: 37,Sci 81,,,,,,,,,,,,,,,,,,,,,,
82,What is the declination of the north celestial pole? ANSWER: 90 (ACCEPT: +9,ANSWER: 90 (ACCEPT: +90),Sci 82,,,,,,,,,,,,,,,,,,,,,,
83,The Sagittarius Arm is part of what galaxy? ,ANSWER: THE MILKY WAY,Sci 83,,,,,,,,,,,,,,,,,,,,,,
84,"Using the traditional system of classification, when organisms belong to the same class, name all of the following 4 taxonomic categories to which they must also belong: order; family; phylum; kingdom ",ANSWER: PHYLUM; KINGDOM,Sci 84,,,,,,,,,,,,,,,,,,,,,,
85,What is the genus name of the most thoroughly studied bacterium? ,ANSWER: Escherichia,Sci 85,,,,,,,,,,,,,,,,,,,,,,
86,Name all of the following 3 processes that do NOT occur in E. coli: glycolysis; photosynthesis; glycogenolysis (read as: GLYKO-jen-oh-LY-sis) ,ANSWER: PHOTOSYNTHESIS,Sci 86,,,,,,,,,,,,,,,,,,,,,,
87,What is the BEST term for the tendency of any mass at rest to remain at rest?, ANSWER: INERTIA,Sci 87,,,,,,,,,,,,,,,,,,,,,,
88,"What is the MOST common term for the type of energy that is most directly related to the energy of atoms, molecules and other small particles that are in random motion within a system? ",ANSWER: THERMAL,Sci 88,,,,,,,,,,,,,,,,,,,,,,
89,"In electrochemical cells, what is the most common term for the electrode that acts as the negative electrode?", ANSWER: CATHODE,Sci 89,,,,,,,,,,,,,,,,,,,,,,
90,"If the electronegativity difference in the bonding atoms is large, what general type of bond is formed? ",ANSWER: IONIC,Sci 90,,,,,,,,,,,,,,,,,,,,,,
91, What is the name for the common ocean waves that are not driven by the wind but sustained by the energy they obtained by the sea? ,ANSWER: SWELL(S),Sci 91,,,,,,,,,,,,,,,,,,,,,,
92,The local group is generally referred to as a collection of what celestial objects?, ANSWER: GALAXIES,Sci 92,,,,,,,,,,,,,,,,,,,,,,
93,What is the SI unit of electric charge? ,ANSWER: COULOMB,Sci 93,,,,,,,,,,,,,,,,,,,,,,
94,What is the name for the most malleable and ductile metal which can be dissolved in aqua regia but is unaffected by air and most other reagents? ,ANSWER: GOLD,Sci 94,,,,,,,,,,,,,,,,,,,,,,
95,What is the MOST common term for the division of a somatic cell into 2 nucleated cells following of mitosis? ,ANSWER: CYTOKINESIS,Sci 95,,,,,,,,,,,,,,,,,,,,,,
96,"What is the anticodon on a tRNA for AAA (read as: A, A, A)? ",ANSWER: UUU,Sci 96,,,,,,,,,,,,,,,,,,,,,,
97,The lush forest of the Pacific northwest is classified as what type of rain forest? ,ANSWER: TEMPERATE (ACCEPT: TEMPERATE RAIN FOREST),Sci 97,,,,,,,,,,,,,,,,,,,,,,
98,The reaction of lead oxide in the presence of what acid is fundamental to the operation of the lead-acid rechargeable battery found in most cars? ,ANSWER: SULFURIC ACID (ACCEPT: SULFURIC or H2SO4),Sci 98,,,,,,,,,,,,,,,,,,,,,,
99,The main asteroid belt is located immediately between what two planets? ,ANSWER: MARS AND JUPITER (in any order),Sci 99,,,,,,,,,,,,,,,,,,,,,,
100,What is the most common term used to describe the velocity of an object at any one discrete moment along its path? ,ANSWER: INSTANTANEOUS VELOCITY,Sci 100,,,,,,,,,,,,,,,,,,,,,,
101,What lepton was the first to be discovered?, ANSWER: ELECTRON,Sci 101,,,,,,,,,,,,,,,,,,,,,,
102,"Identify the following 3 fabrics as derived from animals or plants, respectively: jute; linen; wool ",ANSWER: JUTE = PLANTS; LINEN = PLANTS; WOOL = ANIMALS,Sci 102,,,,,,,,,,,,,,,,,,,,,,
103,What is the proper name for the closest spiral galaxy to the Milky Way? ,ANSWER: ANDROMEDA,Sci 103,,,,,,,,,,,,,,,,,,,,,,
104,"In one cycle of alternating current, 180º is given to the point at what fractional amount of the way through the cycle? ","ANSWER: ½,( 1/2)",Sci 104,,,,,,,,,,,,,,,,,,,,,,
