ID,Question,Answer,Name,,,,,,,,,,,,,,,,,,,,,,
1,?Complementary Angles add up to,90 Degrees,MS.Math 1,,,,,,,,,,,,,,,,,,,,,,
2,Congruent means:,All sides and all angles are equal,MS.Math 2,,,,,,,,,,,,,,,,,,,,,,
3,"Derek has 12 shirts in his closet. If 2 out of every 3 of these shirts are striped, how many striped shirts does Derek have in his closet? (A)2 (B)8 (C)11 (D) 18",B,MS.Math 3,,,,,,,,,,,,,,,,,,,,,,
4,If 2n+1=21  n=? (A)10 (B)11 (C)18 (D) 20,A,MS.Math 4,,,,,,,,,,,,,,,,,,,,,,
5,"If a word problem asks how much for each, what operation do you use?",- (division).,MS.Math 5,,,,,,,,,,,,,,,,,,,,,,
6,"If the circumference of a circle is doubled, how does the diameter of the circle change?",The diameter becomes twice as long,MS.Math 6,,,,,,,,,,,,,,,,,,,,,,
7,Jeffrey wants to measure the mass of his fish tank. Which tool is best for him to use? (A)ruler (B)scale (C)tape measure (D) measuring cup,B,MS.Math 7,,,,,,,,,,,,,,,,,,,,,,
8,"John read the quarter of the time that Tom read. Tom read only two-fifth of the time that Sasha read. Sasha read twice as long as Mike. If Mike read 5 hours, how long did John read? ",1 hour,MS.Math 8,,,,,,,,,,,,,,,,,,,,,,
9,"Linda spent 3/4 of her savings on furniture. She then spent 1/2 of her remaining savings on a fridge. If the fridge cost her $150, what were her original savings? ",1200,MS.Math 9,,,,,,,,,,,,,,,,,,,,,,
10,Reflection means the image  _________,Flips,MS.Math 10,,,,,,,,,,,,,,,,,,,,,,
11,Supplementary Angles add up to:,180 Degrees,MS.Math 11,,,,,,,,,,,,,,,,,,,,,,
12,"The function y = 3.50x + 2 represents the total amount of money, y, saved over x weeks.  What is true about the function? 
(A)It is linear because it is always increasing (B)It is linear because it increases at a constant rate. (C)It is nonlinear because it is always increasing.(D) aIt is nonlinear because it increases at a constant rate",B,MS.Math 12,,,,,,,,,,,,,,,,,,,,,,
13,"f a car travels at a rate of 50 miles per hour, what is the distance, in miles, traveled in 5 hours?", ANSWER: 250,MS.Math 13,,,,,,,,,,,,,,,,,,,,,,
14,The sum of the interior angles of a triangle add up to:,180 degrees,MS.Math 14,,,,,,,,,,,,,,,,,,,,,,
15,"The temperature, in degrees Fahrenheit, decreased at a constant rate from 0 degrees F to - 35 degrees F in 5 hours. By how many degrees did the temperature decrease per hour?",7 degrees,MS.Math 15,,,,,,,,,,,,,,,,,,,,,,
16,Translation means the figure _____________,"Slides, moves up or down/left or rigth",MS.Math 16,,,,,,,,,,,,,,,,,,,,,,
17,What is the greatest common factor (GCF) of 450 and 735 ?,15,MS.Math 17,,,,,,,,,,,,,,,,,,,,,,
18,What is the greatest common factor (GCF) of 64 and 84?,4,MS.Math 18,,,,,,,,,,,,,,,,,,,,,,
19,What is the square root of 196?,14,MS.Math 19,,,,,,,,,,,,,,,,,,,,,,
20,What operation do you use for debit?,Subtraction.,MS.Math 20,,,,,,,,,,,,,,,,,,,,,,
21,What whole number is the square root of 169?,13,MS.Math 21,,,,,,,,,,,,,,,,,,,,,,
22,How many degrees are in one-third of a right angle?,30,MS.Math 22,,,,,,,,,,,,,,,,,,,,,,
23,"Round the number 535,279 to the nearest ten-thousand:",540000,MS.Math 23,,,,,,,,,,,,,,,,,,,,,,
24,"In a right triangle, what is the name for the side opposite the 90 degree angle?",Hypotenuse,MS.Math 24,,,,,,,,,,,,,,,,,,,,,,
25,What is the SI base unit for length?,Meter,MS.Math 25,,,,,,,,,,,,,,,,,,,,,,
26,What is the name for any segment with one endpoint at the center of a circle and the other endpoint on the circle? ,ANSWER: RADIUS (ACCEPT: RADII),MS.Math 26,,,,,,,,,,,,,,,,,,,,,,
27,Every triangle has how many vertices?,3,MS.Math 27,,,,,,,,,,,,,,,,,,,,,,
28,"If the perimeter of a triangle is 45 centimeters and the lengths of two of its sides are 16 and 12 centimeters, find the length of the third side, in centimeter",17,MS.Math 28,,,,,,,,,,,,,,,,,,,,,,
29,"What is the measure, in degrees, of each angle in an equilateral triangle?",ANSWER: 60,MS.Math 29,,,,,,,,,,,,,,,,,,,,,,
30,Reduce the following fraction to a proper fraction in lowest terms: 125/1000,"one eigth, 1/8",MS.Math 30,,,,,,,,,,,,,,,,,,,,,,
31,"Find the volume, in inches cubed, of a rectangular solid whose dimensions are 3-inches by 5-inches by 8-inches:", ANSWER: 120,MS.Math 31,,,,,,,,,,,,,,,,,,,,,,
32,Minuends and subtrahends are used in which of the following mathematical operations: W) addition X) subtraction Y) multiplication Z) division SUBTRACTION,ANSWER: X) SUBTRACTION,MS.Math 32,,,,,,,,,,,,,,,,,,,,,,
33,"If the area of a square field is 1,600 square feet, how many feet long is one of its sides? ",ANSWER: 40,MS.Math 33,,,,,,,,,,,,,,,,,,,,,,
34,What is the identity element for addition on the integers?,0,MS.Math 34,,,,,,,,,,,,,,,,,,,,,,
35,The sum of two numbers is 16 and their product is 55. What are the two numbers?,"11, 5",MS.Math 35,,,,,,,,,,,,,,,,,,,,,,
36,"Find the area, in meters squared, of a parallelogram whose base measures 8 meters and height measures 10 meters:",ANSWER: 80,MS.Math 36,,,,,,,,,,,,,,,,,,,,,,
37,What is the degree measure of a semicircle?,180,MS.Math 37,,,,,,,,,,,,,,,,,,,,,,
38,The equation (2 + x) + y = 2 + (x + y) best illustrates what basic property of addition?,ASSOCIATIVE,MS.Math 38,,,,,,,,,,,,,,,,,,,,,,
39,Change the decimal 0.88 to a fraction in lowest terms:,22/25,MS.Math 39,,,,,,,,,,,,,,,,,,,,,,
40,"In the real numbers, a number times its multiplicative inverse equals what? ",ANSWER: 1,MS.Math 40,,,,,,,,,,,,,,,,,,,,,,
41,"Find the elapsed time, in hours and minutes reduced to their lowest terms, between 12:15 AM and 5:05 PM:", ANSWER: 16 HOURS 50 MINUTES,MS.Math 41,,,,,,,,,,,,,,,,,,,,,,
42,What is the mathematical term for coplanar lines that never intersect?,ANSWER: PARALLEL,MS.Math 42,,,,,,,,,,,,,,,,,,,,,,
43,How many numbers from 1 through 30 are multiples of 3?,ANSWER: 10,MS.Math 43,,,,,,,,,,,,,,,,,,,,,,
44,"Giving your answer in dollars and cents, if 2 Frisbees cost $16.50, how much will 5 Frisbees cost? ",ANSWER: $41.25,MS.Math 44,,,,,,,,,,,,,,,,,,,,,,
45,mplify the following expression by using the Distributive Property: –3(2x – 6y + 3),ANSWER: –6x + 18y – 9 (ACCEPT: 18y – 6x – 9),MS.Math 45,,,,,,,,,,,,,,,,,,,,,,
46,"If exterior angles at two of the vertices of a triangle are 70º and 145º, what is the measure of an exterior angle at the third vertex, in degrees?",ANSWER: 145,MS.Math 46,,,,,,,,,,,,,,,,,,,,,,
47,Name all of the following 5 numbers that are NOT prime numbers: 2; 5; 17; 33; 37 ,ANSWER: 33,MS.Math 47,,,,,,,,,,,,,,,,,,,,,,
48,"Short Answer If the area of a rectangle is 200 centimeters squared and the length is 20 centimeters, what is the perimeter of the rectangle, in centimeters?",ANSWER: 60,MS.Math 48,,,,,,,,,,,,,,,,,,,,,,
49,"If a line has a slope of 10, what is the slope of every line that is perpendicular to it?",ANSWER: – 10 /1 (ACCEPT: –0.1),MS.Math 49,,,,,,,,,,,,,,,,,,,,,,
50,"Consider an isosceles triangle whose vertex angle measures 20 degrees. Find the measure of one of the EXTERIOR angles, in degrees, at the base of the triangle: ",ANSWER: 100,MS.Math 50,,,,,,,,,,,,,,,,,,,,,,
51,A metabolic pathway is a series of chemical reactions occuring within a cell. Metabolic pathways are also called by what other name?,biochemical pathways,MS.Pho 51,,,,,,,,,,,,,,,,,,,,,,
52,Autotrophs use the biochemical pathways of photosynthesis to produce organic compounds from which two reactants?,water and carbon dioxide,MS.Pho 52,,,,,,,,,,,,,,,,,,,,,,
53,"Besides the oxygen gas that is released to the atmosphere, what are the products of the light-dependent portion of photosynthesis?",the energy-rich carrier molecules ATP and NADPH,MS.Pho 53,,,,,,,,,,,,,,,,,,,,,,
54,"By which process do autotrophs convert the energy of sunlight, carbon dioxide and water into food?",photosynthesis,MS.Pho 54,,,,,,,,,,,,,,,,,,,,,,
55,"During cellular respiration, energy is released from organic compounds as they are broken down into which two waste products?",water molecules and carbon dioxide molecules,MS.Pho 55,,,,,,,,,,,,,,,,,,,,,,
56,"During photosynthesis, what happens to the sun's radiant ""energy""?",the radiant energy becomes the electrical force or energy that links the atoms of the organic compound together,MS.Pho 56,,,,,,,,,,,,,,,,,,,,,,
57,"During the first part of photosynthesis, what three things do water molecules break down into?","hydrogen ions, free electrons, and atoms of oxygen gas",MS.Pho 57,,,,,,,,,,,,,,,,,,,,,,
58,Each chloroplast contains hundreds of grana stacks and all these grana are surrounded by a dense gel-like solution call what?,stroma,MS.Pho 58,,,,,,,,,,,,,,,,,,,,,,
59,Energy gives us the ability to do work. Name three kinds of work that cells actually do?,"they actively transport materials, grow and repair themselves, and reproduce offspring",MS.Pho 59,,,,,,,,,,,,,,,,,,,,,,
60,"Many scientists think that a change in the ancient seas caused the arrival of the photosynthesis process. What triggered this ""change""?",a growing population of heterothophs and a lack of available food to consume,MS.Pho 60,,,,,,,,,,,,,,,,,,,,,,
61,Name the cell organelle responsible for the photosynthesis process.,the chloroplast,MS.Pho 61,,,,,,,,,,,,,,,,,,,,,,
62,Name the green pigment that traps sunlight in plants.,chlorophyll,MS.Pho 62,,,,,,,,,,,,,,,,,,,,,,
63,"Once carbohydrates are produced and stored as plant tissue, the energy within these organic compounds can later be released in which cell organelle?",the mitochondria,MS.Pho 63,,,,,,,,,,,,,,,,,,,,,,
64,"Photosynthesis involves a complex series of chemical reactions in which its ""end products"" become the beginning reactants for what other important process?",cellular respiration,MS.Pho 64,,,,,,,,,,,,,,,,,,,,,,
65,Photosynthesis is responsubke for the production and storage of carbohydrates in plant tissue. Later this energy can be released in the mitochondria by what other set of biochemical pathways?,cellular respiration,MS.Pho 65,,,,,,,,,,,,,,,,,,,,,,
66,The chloroplast is a double-membrane structure. The inner membrane is folded into many layers and fused along the edges to form a series of compartments or sacs. What is the advantage to having a highly folderd surface?,Folded surfaces allow for a greater amount of space for chemical reactions to occur on,MS.Pho 66,,,,,,,,,,,,,,,,,,,,,,
67,The food made by autotrophs are primarily stored as what group of organic compounds?,carbohydrates - including glucose sugar,MS.Pho 67,,,,,,,,,,,,,,,,,,,,,,
68,The light reaction portion of photosynthesis begins with the absorption of radiant light energy into what cell organelle?,the chloroplast,MS.Pho 68,,,,,,,,,,,,,,,,,,,,,,
69,"The word ""thylakoid"" means ""sac"". These sacs are the sites of what part of the phtosynthesis process?",the light-dependent reactions or light reactions,MS.Pho 69,,,,,,,,,,,,,,,,,,,,,,
70,Thge neatly folded thylakoids resemble stacks of pancakes. What name do we give each of these stacks of thylakoids?,grana or grana stacks,MS.Pho 70,,,,,,,,,,,,,,,,,,,,,,
71,"To charge up energy carrier molecules, what ion is actively pumped into and passively flows out of the thylakoid space?",hydrogen ion,MS.Pho 71,,,,,,,,,,,,,,,,,,,,,,
72,Water and carbon dioxide are the waste products of cellular respiration and will later become the beginning reactants used in what important process?,photosynthesis,MS.Pho 72,,,,,,,,,,,,,,,,,,,,,,
73,What chemical compounds are produced by the photosynthesis process?,carbohydrates and oxygen gas,MS.Pho 73,,,,,,,,,,,,,,,,,,,,,,
74,What group of ancient organisms is thought to be the first to separate hydrogen from oxygen during phtosynthesis?,they cyanobacteria,MS.Pho 74,,,,,,,,,,,,,,,,,,,,,,
75,What happens to the excess of oxygen gas produced from the decomposition of water during photosynthesis?,the oxygen gas is released into the atmosphere,MS.Pho 75,,,,,,,,,,,,,,,,,,,,,,
76,What is another name for autotrophs?,producer,MS.Pho 76,,,,,,,,,,,,,,,,,,,,,,
77,What is another name for heterotrophs?,consumers,MS.Pho 77,,,,,,,,,,,,,,,,,,,,,,
78,What is the final half of photosynthesis called?,"the ""light-independent reactions"" or the ""dark reactions""",MS.Pho 78,,,,,,,,,,,,,,,,,,,,,,
79,What is the initial half of photosynthesis called?,"the ""light-dependent reactions"" or ""light reactions""",MS.Pho 79,,,,,,,,,,,,,,,,,,,,,,
80,"What is the source of energy for ""all"" living organisms?",food or organic molecules,MS.Pho 80,,,,,,,,,,,,,,,,,,,,,,
81,What molecule is broken apart during the energy-fixing or light reactions part of photosynthesis?,water,MS.Pho 81,,,,,,,,,,,,,,,,,,,,,,
82,What name is given to the two dimensional centers of light-absorbing chlorophyll pigments located in photosynthetic organims?,photosystems,MS.Pho 82,,,,,,,,,,,,,,,,,,,,,,
83,What other group of organisms depends upon the organic substances manufactured by autotrophs for their own nutritional needs?,heterotrophs,MS.Pho 83,,,,,,,,,,,,,,,,,,,,,,
84,What particles are moved from place to place along the two transfer energy chains?,excited eclectrons,MS.Pho 84,,,,,,,,,,,,,,,,,,,,,,
85,What specifically is the purpose for carrying out the beginning part of photosynthesis?,to generate the energy rich ATP and NADPH carrier moleules that will be needed during the later portion of photosynthesis,MS.Pho 85,,,,,,,,,,,,,,,,,,,,,,
86,"What term refers to a specific group of organism and means ""self-feeding"" ?",autotrophs,MS.Pho 86,,,,,,,,,,,,,,,,,,,,,,
87,What three groups of organisms are known as photosynthetic organisms?,"green plants, algae, and certain kinds of bacteria",MS.Pho 87,,,,,,,,,,,,,,,,,,,,,,
88,Which organimsms perform cellular respiration as a means of gaining energy from the breakdown of orgainc molecules?,"""all"" living organisms depend on cellular respiration to gain energy to live",MS.Pho 88,,,,,,,,,,,,,,,,,,,,,,
89,Which three groups of organisms are commonly classified as autotrophs?,"cyanobacteria, algae, and green plants",MS.Pho 89,,,,,,,,,,,,,,,,,,,,,,
90,Why are autotrophs considered so important to earth's overall health?,"without autotrophs, all other life forms would starve to death over time",MS.Pho 90,,,,,,,,,,,,,,,,,,,,,,
91,Within each chloroplast are flattened sacs or vesicles lined with a pigmented membrane that is the site of phtoosynthesis. Name this sac.,the thylakoid,MS.Pho 91,,,,,,,,,,,,,,,,,,,,,,
92,What role do Chlorophyll and other pigments play in photosynthesis?,Capture energy from sunlight during photosynthesis,MS.Pho 92,,,,,,,,,,,,,,,,,,,,,,
93,What do cells do during photosynthesis,The cell uses the energy in sunlight to make food,MS.Pho 93,,,,,,,,,,,,,,,,,,,,,,
94,What happens to glucose during respiration,"Glucose is broken down, releasing energy",MS.Pho 94,,,,,,,,,,,,,,,,,,,,,,
95,During respiration molecules of this are first broken down in the cytoplasm,Glucose,MS.Pho 95,,,,,,,,,,,,,,,,,,,,,,
96,"During respiration, glucose is combined with this to release energy",oxygen,MS.Pho 96,,,,,,,,,,,,,,,,,,,,,,
97,Where is most energy in glucose  released during plant respiration?,Mitochondria,MS.Pho 97,,,,,,,,,,,,,,,,,,,,,,
98,Whch product of photosynthesis do  most living things need to survive?,Oxygen,MS.Pho 98,,,,,,,,,,,,,,,,,,,,,,
99,What is the waste product of photosynthesis,Oxygen,MS.Pho 99,,,,,,,,,,,,,,,,,,,,,,
100,What are the 2 products of photosynthesis,Oxygen and Sugars,MS.Pho 100,,,,,,,,,,,,,,,,,,,,,,
101,What is photosynthesis?,The  process that uses energy from the sun to turn carbon dioxide and water into sugar,MS.Pho 101,,,,,,,,,,,,,,,,,,,,,,
102,Photosynthesis and respiration are related because?,They have opposite equations,MS.Pho 102,,,,,,,,,,,,,,,,,,,,,,
103,Plants make their own food using energy from the?,sun,MS.Pho 103,,,,,,,,,,,,,,,,,,,,,,
104,Plants use energy from the sun to produce,OXYGEN and sugars,MS.Pho 104,,,,,,,,,,,,,,,,,,,,,,
105,The energy from glucose is released in the process of,respiration,MS.Pho 105,,,,,,,,,,,,,,,,,,,,,,
106,Colored chemical compounds that absorb light are called?,Pigment,MS.Pho 106,,,,,,,,,,,,,,,,,,,,,,
107,Small openings in the undersides of leaves which carbon dioxide uses to enter a plant?,Stomata,MS.Pho 107,,,,,,,,,,,,,,,,,,,,,,
108,The main pigment found in chloroplasts is?,Chlorofill,MS.Pho 108,,,,,,,,,,,,,,,,,,,,,,
109,What are the raw materials?,Carbon Dioxide and Water,MS.Pho 109,,,,,,,,,,,,,,,,,,,,,,
110,What is an organism that cannot make it's own food?,Heterotroph,MS.Pho 110,,,,,,,,,,,,,,,,,,,,,,
111,What is an organism that makes it's own food?,Autotroph,MS.Pho 111,,,,,,,,,,,,,,,,,,,,,,
112,Name 3 ways in which heat is transferred...,"Radiation, Conduction, Convection",MS.EA 112,,,,,,,,,,,,,,,,,,,,,,
113,Water boils at what temperature Celsius?,Boil: 100*c,MS.EA 113,,,,,,,,,,,,,,,,,,,,,,
114,What are Electromagnetic waves?,a form of energy that can travel through space.,MS.EA 114,,,,,,,,,,,,,,,,,,,,,,
115,Electromagnetic waves are classified according to their?,"wavelength, or distance between waves.",MS.EA 115,,,,,,,,,,,,,,,,,,,,,,
116,Water freezes at what temperature Celsius?,Freeze: 0*c,MS.EA 116,,,,,,,,,,,,,,,,,,,,,,
117,What is the Greenhouse effect?,the holding of heat by gases in the air,MS.EA 117,,,,,,,,,,,,,,,,,,,,,,
118,How is heat transferred from the sun to earth?,Radiation,MS.EA 118,,,,,,,,,,,,,,,,,,,,,,
